match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,0.1,Galle Titans,Dambulla Aura,PBB Rajapaksa,L Croospulle,B Fernando,0,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,0.2,Galle Titans,Dambulla Aura,PBB Rajapaksa,L Croospulle,B Fernando,0,0,,,,,,caught,PBB Rajapaksa,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,0.3,Galle Titans,Dambulla Aura,Liton Das,L Croospulle,B Fernando,0,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,0.4,Galle Titans,Dambulla Aura,Liton Das,L Croospulle,B Fernando,4,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,0.5,Galle Titans,Dambulla Aura,Liton Das,L Croospulle,B Fernando,1,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,0.6,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,B Fernando,1,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,1.1,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,Hasan Ali,0,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,1.2,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,Hasan Ali,4,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,1.3,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,Hasan Ali,2,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,1.4,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,Hasan Ali,4,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,1.5,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,Hasan Ali,4,0,,,,,,,,,
1382898,2023,2023-08-17,"R Premadasa Stadium, Colombo",1,1.6,Galle Titans,Dambulla Aura,L Croospulle,Liton Das,Hasan Ali,0,0,,,,,,,,,
